domain,ransomwareGroup,timestamp,lockbitURL,domainCountry,domainDescription
ultraflexx.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/nCl1bGtJnHE5WAwd65c0c57bd617d,US,"Our mission is to provide the world's largest, most reliable and compliant inventory of digitally printable textiles and flexible substrates."
tgestiona.br,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/iUeludvLpTujw4jG65c0c65746cce,BR,Tgestiona Logística Company
philogen.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/pPPfa8PVbJi2uhd665c0bfdeb2272,IT,Philogen Spaphilogen.comPhilogen is a biotechnology company with a mission to innovate the treatment of cancer and other serious conditions.
prima.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/fBudONjUwDcvM5OF65c0c05f27335,US,"We're dedicated to growing, packing, and shipping high-quality stone fruits from the heart of California, so you can enjoy the best peaches, plums, nectarines, and apricots our orchards have to offer."
logtainer.com,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/kFAkRII4EDZ69yTL65c0c0e2c5bee,IT,"Logtainer means high quality transport: easy, efficient and sustainable. The company was established early in 1997 and has been growing ever since, becoming one of the most active private operators on Italian railways. In 2021, Logtainer's turnover w..."
portline.pt,lockbit3,05/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/kg6ITb8aRLfgdDv465c0c148e7945,PT,"Portline Transportes Marítimos Internacionais, SA., often simply called Portline is a Portuguese shipping company. The company has diverse business activities, including dry bulk, containerised, and break-bulk cargo shipping, shipping agency, forward..."
cxm.com,lockbit3,04/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Ff3AUjKu2oB8bHqy65bf92dac735d,US,"Chicago Extruded MetalsFinance (budget, audit, cash flow, balance sheet, tax returns, project calculations, YTD reports, bank statements and many other financial documents) Employees (personal data of employees, contracts, information on salaries,..."
pbwtulsa.com,lockbit3,03/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/svatRXEb3vawdrNL65be12ec7c130,US,"Data on lawyers/employees (ssn, ein, residential address, DOB, contracts, scans of passports and ID), financial documents (balance sheet, audits, tax forms, various financial statements, statements),Client databases, client cases containing confide..."
manitou-group.com,lockbit3,02/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/aJVyuUi3wYWu28pc65bd2b2fc6e9d,FR,"Manitou Group, headquartered in France, is a heavy equipment manufacturer specializing in forklifts, telehandlers, aerial work platforms, and warehousing equipment.400GBSpecification, drawings of equipment elements and parts, developments, source..."
lexcaribbean.com,lockbit3,02/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/z6Fl8dluTvDc4NRd65bce34ae3972,TT,"Lex Caribbean was founded in 1997 and is a leading law firm practising the laws of multiple jurisdictions in the Caribbean, including Barbados, Jamaica, Trinidad and Tobago, St Lucia and the Federation of St. Kitts and Nevis. We also coordinate legal..."
gatesshields.com,lockbit3,01/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/MnfVh6IDCE2uJWAb65bbfb563c68a,US,"Documents and data in the amount of 400 GB. The documents contain data of more than 1000 clients: Personal data, addresses, telephone numbers, SSN, EIN. Types of documents: Customer loan agreements, real estate documents, wills, police arrest reports..."
manchesterfertility.com,lockbit3,01/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/E6AW8KZ8ZnF6m2um65bbe86ad57d1,UK,"Manchester Fertility is a long-established, trusted fertility clinic with true heritage - in the early days of IVF we were instrumental in its widespread development. Our founder Professor Brian Lieberman launched the UK's first, fully-funded NHS IVF..."
stemcor.com,lockbit3,01/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/eIK3Z10wy8RbcMdL65bbebc3919f8,UK,STEMCOR is a leading independently run service provider for the steel industry.
bandcllp.com,lockbit3,01/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/0Wrhy3Y03XfOEi6W65bb6be5c5628,US,Baldessari & Coster LLP is a full-service Certified Public Accounting firm licensed in NY. All our CPA's hold valid NY State CPA Certificates.
taloninternational.com,lockbit3,01/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/nPHsU49MvCF0ZjFK65bb756fac315,US,"Talon International300GBClients (customer database with addresses, phone numbers, information on calculations, to whom and where products are delivered, NDA, contracts, approved design for each client, color scheme, sources, for brands 7FAM, Calv..."
